break_state,confirmation,end,entry_ask,mae,mfe,minute,quality,reason,session_date,setup,side,strike,structure,symbol,volume_state,vwap_state
CLEAN_BREAK,PARTIAL,71.55,394.8,10.15,85.45,11:27,B,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 77,188.9 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME EXPANDING",2026-08-28,BREAKOUT_CONTINUATION,PE,77400.0,BREAKDOWN,SENSEX,VOLUME_EXPANDING,BELOW_VWAP
NO_BREAK,CONTRADICTED,-8.75,83.75,-18.4,7.75,14:52,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → ABOVE VWAP → AT VAH → VOLUME DECLINING,2026-08-31,RANGE_ROTATION,CE,24150.0,RANGE,NIFTY,VOLUME_DECLINING,ABOVE_VWAP
CLEAN_BREAK,PARTIAL,-37.15,366.4,-37.15,-10.05,10:07,B,"Partial: LOWER HIGH → LOWER LOW → HIGH BREAK at 76,924.1 → NO FOLLOW-THROUGH YET → CROSSING VWAP → VOLUME SPIKE",2026-08-31,BREAKOUT_CONTINUATION,CE,77000.0,BREAKOUT_UP,SENSEX,VOLUME_SPIKE,CROSSING_VWAP
NO_BREAK,CONTRADICTED,-26.1,380.85,-42.85,16.15,14:52,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → AT VAH → VOLUME DECLINING,2026-08-31,PULLBACK_IN_TREND,CE,77300.0,TRENDING_UP,SENSEX,VOLUME_DECLINING,ABOVE_VWAP
NO_BREAK,CONTRADICTED,19.5,40.0,-1.3,29.7,13:47,B,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → LOWER LOW → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME DECLINING,2026-09-01,PULLBACK_IN_TREND,PE,24050.0,TRENDING_DOWN,NIFTY,VOLUME_DECLINING,BELOW_VWAP
CLEAN_BREAK,PARTIAL,15.95,317.6,-5.9,16.75,10:16,B,"Partial: HIGHER LOW → HIGH BREAK at 76,877.2 → NO FOLLOW-THROUGH YET → CROSSING VWAP → AT VAH → VOLUME DECLINING",2026-09-01,BREAKOUT_CONTINUATION,CE,76900.0,BREAKOUT_UP,SENSEX,VOLUME_DECLINING,CROSSING_VWAP
CLEAN_BREAK,PARTIAL,-2.8,289.65,-14.0,1.5,11:41,B,"Partial: LOWER HIGH → HIGHER LOW → LOW BREAK at 77,140.9 → NO FOLLOW-THROUGH YET → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME DECLINING",2026-09-01,BREAKOUT_CONTINUATION,PE,77200.0,BREAKDOWN,SENSEX,VOLUME_DECLINING,ABOVE_VWAP
CLEAN_BREAK,PARTIAL,32.05,262.8,-1.4,68.65,13:48,B,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 76,880.4 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME DECLINING",2026-09-01,BREAKOUT_CONTINUATION,PE,76900.0,BREAKDOWN,SENSEX,VOLUME_DECLINING,BELOW_VWAP
CLEAN_BREAK,PARTIAL,-11.3,124.05,-11.3,3.85,15:02,A,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 23,868.0 → NO FOLLOW-THROUGH YET → ABOVE VWAP → VOLUME EXPANDING",2026-09-02,BREAKOUT_CONTINUATION,PE,23900.0,BREAKDOWN,NIFTY,VOLUME_EXPANDING,ABOVE_VWAP
CLEAN_BREAK,PARTIAL,-2.7,116.3,-3.9,0.25,12:24,B,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 23,914.9 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME EXPANDING",2026-09-03,BREAKOUT_CONTINUATION,PE,23950.0,BREAKDOWN,NIFTY,VOLUME_EXPANDING,BELOW_VWAP
CLEAN_BREAK,PARTIAL,-6.25,424.9,-20.75,7.9,09:28,A,"Partial: LOWER HIGH → LOW BREAK at 76,586.8 → NO FOLLOW-THROUGH YET → BELOW VWAP → AT VAL → VOLUME NORMAL",2026-09-04,BREAKOUT_CONTINUATION,PE,76700.0,BREAKDOWN,SENSEX,VOLUME_NORMAL,BELOW_VWAP
CLEAN_BREAK,PARTIAL,22.0,446.9,-0.05,25.25,09:53,B,"Partial: HIGHER HIGH → HIGHER LOW → HIGH BREAK at 76,642.1 → NO FOLLOW-THROUGH YET → ABOVE VWAP → AT VAH → VOLUME DECLINING",2026-09-04,BREAKOUT_CONTINUATION,CE,76800.0,BREAKOUT_UP,SENSEX,VOLUME_DECLINING,ABOVE_VWAP
NO_BREAK,CONTRADICTED,-34.5,313.2,-34.5,-0.6,10:51,B,Price action contradicts the candidate: structure reads trending down. LOWER HIGH → LOWER LOW → CROSSING VWAP → AT VAH → VOLUME SPIKE,2026-09-08,PULLBACK_IN_TREND,CE,75900.0,TRENDING_DOWN,SENSEX,VOLUME_SPIKE,CROSSING_VWAP
CLEAN_BREAK_WITH_FOLLOW_THROUGH,PARTIAL,30.9,126.8,1.1,33.75,12:29,A,"Partial: HIGH BREAK at 23,491.3 → FOLLOW-THROUGH → CROSSING VWAP → VOLUME NORMAL",2026-09-09,BREAKOUT_CONTINUATION,CE,23550.0,BREAKOUT_UP,NIFTY,VOLUME_NORMAL,CROSSING_VWAP
EXHAUSTED_BREAK,CONTRADICTED,15.3,118.0,1.55,15.3,15:29,B,Price action contradicts the candidate: the move is already extended beyond the level; volume is not confirming the move's direction. LOWER HIGH → HIGHER LOW → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL,2026-09-09,EXTENDED_MOVE,PE,23500.0,BREAKDOWN,NIFTY,VOLUME_NORMAL,BELOW_VWAP
NO_BREAK,CONTRADICTED,-9.7,261.1,-17.65,-2.7,09:26,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → CROSSING VWAP → AT VAH → VOLUME DECLINING,2026-09-09,RANGE_ROTATION,CE,75200.0,RANGE,SENSEX,VOLUME_DECLINING,CROSSING_VWAP
CLEAN_BREAK,PARTIAL,-3.65,248.1,-12.3,8.5,14:46,B,"Partial: LOW BREAK at 74,954.8 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME EXPANDING",2026-09-09,BREAKOUT_CONTINUATION,PE,75100.0,BREAKDOWN,SENSEX,VOLUME_EXPANDING,BELOW_VWAP
CLEAN_BREAK,PARTIAL,-1.05,103.85,-3.35,3.75,10:55,A,"Partial: HIGHER HIGH → HIGHER LOW → LOW BREAK at 23,416.0 → NO FOLLOW-THROUGH YET → BELOW VWAP → AT VAL → VOLUME DECLINING",2026-09-10,BREAKOUT_CONTINUATION,PE,23450.0,BREAKDOWN,NIFTY,VOLUME_DECLINING,BELOW_VWAP
NO_BREAK,CONTRADICTED,-31.05,157.15,-31.05,8.7,10:08,B,Price action contradicts the candidate: structure reads trending up. HIGHER HIGH → HIGHER LOW → CROSSING VWAP → VOLUME SPIKE,2026-09-10,PULLBACK_IN_TREND,PE,74700.0,TRENDING_UP,SENSEX,VOLUME_SPIKE,CROSSING_VWAP
NO_BREAK,CONTRADICTED,-9.8,146.2,-12.85,11.6,10:55,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → BELOW VWAP → AT VAL → VOLUME NORMAL,2026-09-10,NO_CLEAR_SETUP,PE,74700.0,BREAKDOWN,SENSEX,VOLUME_NORMAL,BELOW_VWAP
CLEAN_BREAK,PARTIAL,-13.1,376.65,-16.5,12.85,12:04,B,"Partial: LOWER LOW → HIGH BREAK at 74,689.1 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL",2026-09-15,BREAKOUT_CONTINUATION,CE,74700.0,BREAKOUT_UP,SENSEX,VOLUME_NORMAL,BELOW_VWAP
NO_BREAK,CONTRADICTED,19.25,342.7,-0.2,28.3,10:24,A,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → REJECTED VWAP → VOLUME DECLINING,2026-09-16,NO_CLEAR_SETUP,CE,74300.0,BREAKOUT_UP,SENSEX,VOLUME_DECLINING,REJECTED_VWAP
NO_BREAK,CONTRADICTED,2.2,329.0,-13.0,4.95,11:26,A,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → LOWER LOW → CROSSING VWAP → AT POC → VOLUME DECLINING,2026-09-16,PULLBACK_IN_TREND,PE,74300.0,TRENDING_DOWN,SENSEX,VOLUME_DECLINING,CROSSING_VWAP
NO_BREAK,NO_SETUP,-14.9,429.95,-20.0,8.45,11:58,B,"Bullish candidate with no clean setup: No break of 74,497.9. HIGHER HIGH → CROSSING VWAP → AT VAH → VOLUME SPIKE",2026-09-18,NO_CLEAR_SETUP,CE,74600.0,BREAKOUT_UP,SENSEX,VOLUME_SPIKE,CROSSING_VWAP
CLEAN_BREAK,PARTIAL,-4.85,44.6,-4.85,5.15,11:55,B,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 23,355.9 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL",2026-09-22,BREAKOUT_CONTINUATION,PE,23350.0,BREAKDOWN,NIFTY,VOLUME_NORMAL,BELOW_VWAP
CLEAN_BREAK,PARTIAL,-4.4,112.6,-7.1,-2.1,10:38,B,"Partial: LOWER HIGH → HIGHER LOW → HIGH BREAK at 23,230.7 → NO FOLLOW-THROUGH YET → CROSSING VWAP → AT POC → VOLUME EXPANDING",2026-09-24,BREAKOUT_CONTINUATION,CE,23250.0,BREAKOUT_UP,NIFTY,VOLUME_EXPANDING,CROSSING_VWAP
NO_BREAK,CONTRADICTED,5.75,138.35,0.85,20.8,13:52,B,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → LOWER LOW → DISTANT FROM VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL,2026-09-24,PULLBACK_IN_TREND,PE,23100.0,TRENDING_DOWN,NIFTY,VOLUME_NORMAL,DISTANT_FROM_VWAP
NO_BREAK,CONTRADICTED,2.5,146.35,-1.7,9.65,11:32,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → BELOW VWAP → AT VAL → VOLUME DECLINING,2026-09-24,NO_CLEAR_SETUP,PE,74100.0,BREAKDOWN,SENSEX,VOLUME_DECLINING,BELOW_VWAP
NO_BREAK,CONTRADICTED,-53.05,128.95,-53.05,19.65,15:13,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → BELOW VWAP → VOLUME DECLINING,2026-09-24,NO_CLEAR_SETUP,PE,73700.0,MIXED,SENSEX,VOLUME_DECLINING,BELOW_VWAP
CLEAN_BREAK,PARTIAL,1.3,102.1,-0.75,5.3,10:09,A,"Partial: LOWER LOW → HIGH BREAK at 23,084.1 → NO FOLLOW-THROUGH YET → REJECTED VWAP → VOLUME EXPANDING",2026-09-25,BREAKOUT_CONTINUATION,CE,23150.0,BREAKOUT_UP,NIFTY,VOLUME_EXPANDING,REJECTED_VWAP
NO_BREAK,NO_SETUP,4.8,106.4,-2.75,6.8,12:43,A,"Bearish candidate with no clean setup: No break of 23,063.1. LOWER HIGH → LOWER LOW → BELOW VWAP → AT VAL → VOLUME EXPANDING",2026-09-25,NO_CLEAR_SETUP,PE,23100.0,BREAKDOWN,NIFTY,VOLUME_EXPANDING,BELOW_VWAP
CLEAN_BREAK,PARTIAL,27.5,447.15,5.85,32.0,12:44,B,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 73,663.2 → NO FOLLOW-THROUGH YET → REJECTED VWAP → AT VAL → VOLUME NORMAL",2026-09-25,BREAKOUT_CONTINUATION,PE,73800.0,BREAKDOWN,SENSEX,VOLUME_NORMAL,REJECTED_VWAP
